Contas
402,88
434,41
392,09
383,94
444,75
388,53
413,66
407,02
444,67
375,21
475,12
363,91
418,18
409,94
360,36
424,22
378,8
348,65
433,85
338,18
354,33
391,44
444,09
428,91
401,89
331,34
362,11
370,84
347,27
326,97
394,14
431,37
367,43
442,99
335,5
345,53
392,94
363,95
424,93
412,92
366,79
337,53
362,15
414,57
427,89
364,13
326,89
334,37
409,07
366,11
367,09
345,08
344,57
441,55
411,4
357,07
388,88
398,37
513,79
342,33
397,59
441,13
499,03
355,3
365,59
425,64
331,05
403,44
560,18
410,05
320,61
349,04
356,37
460,74
376,52
327,11
381,95
392,23
360,9
344,1
577,12
441,41
449,1
376,62
354,73
362,76
335,45
511,32
378,56
483,16
364,66
411,02
395,37
333,31
527,42
365,89
339,93
426,24
384,58
404,99
389,93
321,56
348,02
346,86
447,78
386,55
415,11
368,39
418,59
376,73
373,3
394,97
389,93
631,63
347,69
331,21
403,58
351,99
320,44
341,2
588,12
346,91
325,7
577,22
340,22
692,97
366,55
528,0
372,26
411,43
377,78
372,6
398,34
413,94
393,71
387,81
352,26
379,66
510,7
350,78
400,14
472,16
414,53
448,75
339,84
400,3
370,04
371,94
499,88
372,67
402,33
325,72
527,84
443,47
381,55
368,08
421,79
470,88
529,75
440,56
388,56
454,04
436,91
388,78
434,44
432,88
381,25
360,11
425,81
342,62
336,99
403,35
423,69
402,86
410,02
422,39
500,34
442,06
439,41
398,38
400,71
377,08
407,99
341,31
500,92
348,73
441,88
485,42
441,68
604,18
322,14
362,65
483,51
336,1
349,69
417,61
387,87
413,1
392,7
398,16
352,88
396,18
365,42
371,28
440,68
335,0
318,63
434,33
396,24
485,29
350,55
379,62
390,02
357,06
346,54
438,6
332,99
341,83
377,92
448,82
359,47
354,75
374,99
406,58
367,7
460,85
465,11
377,92
554,48
388,72
461,65
404,7
403,47
328,67
339,64
369,99
464,33
405,65
370,41
424,45
460,55
385,2
397,78
389,98
381,79
350,2
347,74
423,96
462,46
370,32
369,27
324,54
322,3
488,89
352,34
617,39
358,44
329,22
390,44
437,58
428,11
446,27
343,94
486,09
492,91
498,17
399,95
366,85
363,04
329,13
359,28
318,12
326,91
399,3
371,87
396,58
431,04
408,1
402,35
380,19
351,11
336,28
360,3
381,06
387,69
446,47
376,47
419,33
331,53
400,19
395,76
486,13
371,92
369,96
431,62
338,04
398,54
336,84
538,78
364,1
335,37
360,02
398,93
416,99
480,09
355,42
435,38
326,92
342,01
332,06
349,26
431,57
356,29
363,38
400,62
413,91
364,63
341,83
514,8
364,91
369,19
374,96
421,56
330,56
567,28
367,95
424,17
335,62
394,24
541,93
521,11
422,12
347,16
474,17
326,81
346,08
380,48
328,18
359,93
437,11
352,54
441,19
611,96
408,27
439,66
477,9
363,6
437,58
362,6
403,48
450,83
348,58
318,74
345,67
464,96
342,12
459,25
345,81
373,41
384,11
341,99
373,94
329,17
367,33
379,72
319,1
345,42
401,48
339,02
412,31
419,35
401,2
436,55
328,1
455,09
342,42
390,42
535,99
366,4
385,48
342,58
534,53
345,49
425,97
477,7
433,59
405,2
389,53
335,4
528,03
399,77
385,52
340,31
388,21
382,09
535,98
385,48
387,3
340,62
351,38
416,69
325,24
454,57
457,19
347,96
405,45
481,34
377,86
368,79
374,36
399,62
355,75
365,06
400,89
361,65
338,42
324,08
386,56
474,33
408,82
339,35
351,14
368,46
540,69
548,84
530,87
392,27
740,75
352,78
366,84
447,17
401,23
404,93
343,58
381,71
353,29
333,91
357,43
401,25
432,38
323,65
384,18
379,34
397,94
339,82
340,31
477,25
348,36
364,78
369,13
353,94
414,44
408,4
377,09
355,98
373,22
388,75
351,18
419,84
453,85
496,24
488,84
368,84
391,58
376,15
375,97
372,89
385,19
469,76
403,19
338,73
449,83
397,08
415,27
401,91
404,88
407,95
326,27
414,35
352,6
361,53
384,75
515,45
342,96
382,92
371,76
448,49
370,48
397,79
343,04
464,21
332,21
413,37
398,18
407,39
332,49
369,55
444,02
535,61
379,02
435,69
392,26
381,66
364,51
385,02
428,25
434,86
336,52
360,84
341,7
387,75
367,98
405,14
409,75
320,09
384,6
471,84
360,85
359,72
453,74
438,77
344,42
430,4
350,8
359,32
344,39
336,35
391,03
333,1
393,38
391,53
376,77
362,7
355,13
340,92
497,14
374,62
373,03
345,74
484,44
357,37
399,06
411,28
391,07
332,63
426,98
356,99
437,91
381,25
415,53
476,97
424,08
417,29
430,57
349,67
441,55
371,0
372,49
389,27
366,87
343,38
385,03
372,72
371,08
379,6
321,0
371,41
490,68
481,45
386,91
385,06
318,75
359,1
429,76
365,84
457,58
451,73
358,36
391,08
500,03
332,19
366,78
330,29
347,43
536,47
366,76
323,42
343,1
328,47
393,31
410,26
442,72
425,47
333,12
406,8
377,42
455,59
434,38
555,65
345,31
341,32
361,44
379,4
354,0
346,82
402,42
361,32
352,55
333,08
319,39
485,02
481,65
436,93
417,59
357,76
420,6
339,49
389,7
349,75
420,91
508,38
343,0
359,59
388,64
324,91
329,25
504,64
402,71
355,73
382,77
361,61
390,32
363,1
378,72
427,64
422,58
497,58
407,31
386,14
515,8
373,58
320,19
437,98
399,47
383,59
440,25
363,44
320,64
441,97
354,48
344,09
321,15
434,67
317,47
476,1
367,49
438,68
409,35
540,55
407,5
472,1
358,39
329,19
452,14
328,68
433,75
340,84
400,69
543,33
427,33
373,79
410,95
359,77
601,69
351,87
379,05
420,32
405,97
413,57
360,57
371,85
447,81
443,32
407,56
485,38
451,47
440,65
328,38
406,75
395,01
500,1
376,22
390,14
340,51
345,65
500,49
413,3
543,67
375,33
332,37
368,56
361,22
430,11
426,87
416,83
590,66
478,79
